pkey,created_on,last_updated_on,version,category,competition_id,country,end_date,match_format,name,no_of_matches,no_of_rounds,no_of_teams,season,short_name,src_id,start_date
73,"2021-02-15 00:02:43","2021-02-15 00:02:43",1,international,T20I,int,2020-11-10,mixed,"Zimbabwe tour of Pakistan",6,2,2,2020,ztop-202021,116877,2020-10-30
74,"2021-02-15 00:02:52","2021-02-15 00:02:52",1,international,T20I,int,2018-10-14,mixed,"Zimbabwe tour of South Africa",6,2,2,2018/19,ztosa-1819,111294,2018-09-30
75,"2021-02-15 00:02:58","2021-02-15 00:02:58",1,international,T20I,int,2018-07-22,t20i,"ZIMBABWE TWENTY20 TRI-SERIES",7,2,4,2018,ptoz-18,111251,2018-07-01
76,"2021-02-15 00:03:14","2021-02-15 00:03:14",1,domestic,BBL,au,2018-02-04,t20,"Big Bash League",43,3,8,2017/18,bbl-1718,104945,2017-12-19
77,"2021-02-15 00:05:00","2021-02-15 00:05:00",1,domestic,BBL,au,2019-02-17,t20,"Big Bash League",59,3,9,2018/19,bbl-1819,111481,2018-12-19
78,"2021-02-15 00:07:11","2021-02-15 00:07:11",1,domestic,BBL,au,2020-02-08,t20,"Big Bash League",61,1,9,2019,bbl-201920,113934,2019-12-17
79,"2021-02-15 00:09:19","2021-02-15 00:09:19",1,domestic,BBL,int,2021-02-06,t20,"Big Bash League",61,1,8,2020,bbl2020,117103,2020-12-10
80,"2021-02-15 00:11:37","2021-02-15 00:11:37",1,domestic,CPL,wi,2018-09-16,t20,"Caribbean Premier League",34,5,7,2018,cpl-18,111293,2018-08-08
81,"2021-02-15 00:12:59","2021-02-15 00:12:59",1,domestic,CPL,wi,2019-10-12,t20,"Caribbean Premier League",34,5,6,2019,cpl-2019,113595,2019-09-04
82,"2021-02-15 00:14:25","2021-02-15 00:14:25",1,domestic,CPL,wi,2020-09-10,t20,"Caribbean Premier League",33,1,6,2020,cpl-2020,116262,2020-08-18
83,"2021-02-15 00:15:38","2021-02-15 00:15:38",1,domestic,MSL,za,2018-12-16,t20,"Mzansi Super League",32,3,7,2018/19,msl-1819,111906,2018-11-16
84,"2021-02-15 00:16:52","2021-02-15 00:16:52",1,domestic,MSL,za,2019-12-16,t20,"Mzansi Super League",32,1,7,2019,msl-201920,113836,2019-11-08
85,"2021-02-15 00:17:55","2021-02-15 00:17:55",1,domestic,PSL,pk,2019-03-17,t20,"Pakistan Super League",34,5,7,2018/19,psl-1819,112243,2019-02-14
86,"2021-02-15 00:19:17","2021-02-15 00:19:17",1,domestic,PSL,pk,2020-11-17,t20,"Pakistan Super League",37,1,7,2020,psl-201920,114421,2020-02-20
87,"2021-02-15 00:20:29","2021-02-15 00:20:29",1,domestic,PSL,pk,2018-03-25,t20,"Pakistan Super League - PSL",34,5,6,2017/18,psl-1718,108677,2018-02-22
88,"2021-02-15 00:21:42","2021-02-15 00:21:42",1,domestic,T20Blast,en,2019-09-21,t20,"Vitality Blast",133,5,18,2019,vb-2019,113331,2019-07-18
89,"2021-02-15 00:26:28","2021-02-15 00:26:28",1,domestic,T20Blast,en,2020-10-04,t20,"Vitality Blast",97,3,19,2020,vb-2020,116506,2020-08-27
90,"2021-02-15 00:30:23","2021-02-15 00:30:23",1,domestic,T20Blast,en,2018-09-15,t20,"Vitality T20 Blast",133,5,19,2018,ntb-18,111131,2018-07-04
91,"2021-02-15 00:34:31","2021-02-15 00:34:31",1,domestic,APL,af,2018-10-21,t20,"Afghanistan Premier League",23,4,6,2018/19,APL,111751,2018-10-05
